,location,size,total_sqft,bath,price,bhk
3220,"Off Sarjapur road, ",4 Bedroom,3000.0,4.0,342.0,4
3221,Begur,3 BHK,1559.0,3.0,63.0,3
3222,Harlur,2 BHK,1290.0,2.0,87.0,2
3223,M C Layout,6 Bedroom,2400.0,6.0,245.0,6
3224,Whitefield,1 BHK,905.0,1.0,55.0,1
3225,Nanjappa Layout,2 BHK,1069.0,2.0,55.0,2
3226,Sarjapura - Attibele Road,2 BHK,829.0,2.0,22.8,2
3227,Koramangala,2 BHK,1900.0,2.0,200.0,2
3228,Dodda Banaswadi,5 Bedroom,,5.0,140.0,5
3229,Sarjapur  Road,3 BHK,1300.0,3.0,60.0,3
3230,Channasandra,2 BHK,1115.0,2.0,33.45,2
3231,Rajaji Nagar,3 BHK,2409.0,3.0,360.0,3
3232,Ambedkar Nagar,3 BHK,2150.0,4.0,125.0,3
3233,Marathahalli,3 BHK,1305.0,2.0,69.0,3
3234,Kanakpura Road,2 BHK,1252.0,2.0,56.32,2
3235,Hosakerehalli,5 Bedroom,2400.0,5.0,250.0,5
3236,Whitefield,2 Bedroom,1200.0,2.0,46.13,2
3237,Koramangala,3 BHK,1750.0,3.0,130.0,3
3238,Electronic City Phase II,2 BHK,545.0,1.0,35.0,2
3239,BEL Layout,2 Bedroom,1375.0,2.0,105.0,2
3240,Subramanyapura,2 BHK,1313.0,2.0,66.5,2
3241,Attibele,4 Bedroom,3640.0,4.0,275.0,4
3242,Akshayanagara East,3 BHK,1693.0,3.0,108.0,3
3243,JCR Layout,2 BHK,1160.0,2.0,41.75,2
3244,Sri Kanteshwara Nagar,3 Bedroom,1200.0,3.0,200.0,3
3245,Subramanyapura,3 BHK,1255.0,2.0,79.0,3
3246,KR Puram,4 Bedroom,1000.0,4.0,75.0,4
3247,Bellari Road,2 BHK,900.0,2.0,45.0,2
3248,Yelahanka New Town,3 BHK,1700.0,3.0,90.0,3
3249,Indira Nagar,3 BHK,1875.0,3.0,180.0,3
3250,Uttarahalli,3 BHK,1700.0,3.0,88.0,3
3251,Harlur,3 BHK,1749.0,3.0,115.0,3
3252,Dasanapura,2 Bedroom,1500.0,3.0,65.0,2
3253,Varanasi,2 BHK,1175.0,2.0,48.0,2
3254,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2
3255,Abbaiah Reddy Layout,2 BHK,1200.0,2.0,50.0,2
3256,Ramagondanahalli,3 BHK,1610.0,2.0,115.0,3
3257,Electronic City,2 BHK,1070.0,2.0,46.0,2
3258,TC Palaya,2 Bedroom,1200.0,2.0,66.0,2
3259,9th Phase JP Nagar,2 BHK,1127.0,2.0,50.0,2
3260,Indira Nagar,2 BHK,1210.0,2.0,102.0,2
3261,Jyothi Nagar,2 BHK,600.0,2.0,23.0,2
3262,Thigalarapalya,4 BHK,4190.0,4.0,380.0,4
3263,Tata Nagar,2 BHK,1364.0,2.0,70.0,2
3264,Whitefield,4 BHK,2268.0,3.0,146.0,4
3265,RK Layout 2nd Stage,3 BHK,1150.0,2.0,77.5,3
3266,Tirumanahalli,2 BHK,1146.0,2.0,39.5,2
3267,Magadi Road,2 BHK,1345.0,2.0,55.0,2
3268,Mylasandra,2 BHK,1110.0,2.0,41.0,2
3269,Kengeri,2 BHK,750.0,2.0,36.0,2
3270,Motappa Layout,2 BHK,1156.0,2.0,49.5,2
3271,Pattandur Agrahara,2 BHK,1247.0,2.0,59.8,2
3272,Mangammanapalya,2 BHK,1058.0,2.0,60.0,2
3273,Kaggalipura,2 BHK,950.0,2.0,48.0,2
3274,Vasanthapura,2 BHK,420.0,2.0,35.0,2
3275,BTM 1st Stage,4 Bedroom,600.0,2.0,90.0,4
3276,Vijayanagar,3 BHK,1520.0,2.0,103.0,3
3277,Marathahalli,2 BHK,1215.0,2.0,58.86,2
3278,Raghuvanahalli,1 BHK,900.0,1.0,30.0,1
3279,Hennur Road,3 BHK,2350.0,3.0,174.0,3
3280,Thanisandra,2 BHK,1050.0,2.0,46.0,2
3281, Devarabeesana Halli,3 BHK,1672.0,3.0,150.0,3
3282,Laggere,5 Bedroom,2800.0,5.0,125.0,5
3283,MCECHS  layout,3 BHK,1500.0,2.0,65.0,3
3284,Geddalahalli,2 BHK,1400.0,2.0,65.0,2
3285,Whitefield,4 Bedroom,,4.0,378.0,4
3286,8th Phase JP Nagar,4 Bedroom,2700.0,4.0,130.0,4
3287,Bommasandra,2 BHK,920.0,2.0,37.46,2
3288,Sarjapur  Road,3 Bedroom,1200.0,3.0,70.0,3
3289,Brindavan Nagar,3 BHK,1250.0,3.0,139.0,3
3290,Hosakerehalli,3 BHK,1817.0,4.0,153.0,3
3291,Cooke Town,5 Bedroom,2043.0,6.0,375.0,5
3292,HSR Layout,2 BHK,1140.0,2.0,46.0,2
3293,Yelahanka,4 Bedroom,4346.0,4.0,450.0,4
3294,Haralur Road,2 BHK,1464.0,2.0,56.0,2
3295,Ambedkar Colony,2 BHK,1468.0,3.0,130.0,2
3296,Electronics City Phase 1,3 BHK,1555.0,2.0,82.0,3
3297,Munnekollal,6 Bedroom,1200.0,4.0,110.0,6
3298,Whitefield,2 BHK,1150.0,2.0,55.0,2
3299,Kadubeesanahalli,2 BHK,970.0,2.0,35.0,2
3300,Banashankari,4 BHK,2500.0,4.0,95.0,4
3301,Seetharampalya,2 BHK,1166.0,2.0,53.0,2
3302,Konanakunte,3 Bedroom,2779.0,3.0,317.0,3
3303,Electronic City,3 BHK,1350.0,3.0,58.0,3
3304,Mariyannapalya,2 BHK,900.0,2.0,46.0,2
3305,7th Phase JP Nagar,3 BHK,1300.0,2.0,52.0,3
3306,Kanaka Nagar,3 BHK,1190.0,3.0,55.0,3
3307,Kodichikkanahalli,3 BHK,1495.0,2.0,75.0,3
3308,Indira Nagar,2 BHK,1224.0,2.0,105.0,2
3309,Banashankari Stage III,3 BHK,1350.0,2.0,68.0,3
3310,Green Glen Layout,2 BHK,940.0,2.0,56.8,2
3311,Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,55.0,2
3312,Kaikondrahalli,2 BHK,1300.0,2.0,61.0,2
3313,Palace Road,3 BHK,1480.0,2.0,145.0,3
3314,Hoodi,2 BHK,1105.0,2.0,46.37,2
3315,Sarjapur  Road,3 Bedroom,2600.0,3.0,200.0,3
3316,Yelahanka,3 BHK,1517.0,3.0,76.3,3
3317,Horamavu Banaswadi,6 Bedroom,3800.0,8.0,200.0,6
3318,Jalahalli,3 BHK,1615.0,3.0,89.75,3
3319,MCECHS  layout,3 BHK,1500.0,3.0,65.0,3
3320,Mysore Road,3 BHK,1082.0,3.0,50.5,3
3321,Marathahalli,2 BHK,1365.0,2.0,73.0,2
3322,Electronic City,2 BHK,1000.0,2.0,25.0,2
3323,CV Raman Nagar,2 BHK,1392.0,2.0,98.0,2
3324,Kodigehalli,2 BHK,1086.0,2.0,33.66,2
3325,Hennur Road,3 BHK,1586.0,3.0,93.94,3
3326,Hennur,2 BHK,1100.0,2.0,60.0,2
3327,Electronic City Phase II,2 BHK,1065.0,2.0,30.75,2
3328,TC Palaya,3 Bedroom,1500.0,2.0,120.0,3
3329,7th Phase JP Nagar,3 BHK,1575.0,2.0,120.0,3
3330,Hennur Road,3 BHK,1975.0,3.0,123.0,3
3331,Nelamangala,2 BHK,820.0,2.0,24.0,2
3332,Gubbalala,3 BHK,1745.0,3.0,110.0,3
3333,Nagarbhavi,2 BHK,1223.0,2.0,60.0,2
3334,Ananth Nagar,3 BHK,1200.0,2.0,65.0,3
3335,Basaveshwara Nagar,2 BHK,1200.0,2.0,90.0,2
3336,Binny Pete,1 BHK,665.0,1.0,46.08,1
3337,Bharathi Nagar,2 BHK,1351.0,2.0,70.0,2
3338,Hebbal,3 BHK,1355.0,3.0,83.87,3
3339,Sector 7 HSR Layout,3 BHK,3900.0,3.0,300.0,3
3340,Thanisandra,3 BHK,1588.0,3.0,75.55,3
3341,Amruthahalli,2 BHK,900.0,2.0,60.0,2
3342,Bhuvaneshwari Nagar,3 Bedroom,440.0,3.0,50.0,3
3343,Harlur,4 Bedroom,3385.0,4.0,260.0,4
3344,Panathur,3 BHK,1370.0,2.0,75.0,3
3345,Whitefield,3 Bedroom,1500.0,3.0,71.8,3
3346,Pulikeshi Nagar,3 BHK,2280.0,3.0,285.0,3
3347,Kanakpura Road,3 BHK,1100.0,3.0,53.0,3
3348,Hoodi,2 BHK,1247.0,2.0,53.0,2
3349,Domlur Layout,3 BHK,2000.0,3.0,200.0,3
3350,Balagere,2 BHK,1020.07,2.0,68.38,2
3351,Gunjur Palya,3 BHK,1033.0,2.0,32.0,3
3352,B Narayanapura,3 BHK,1460.0,2.0,73.0,3
3353,Garudachar Palya,2 BHK,1150.0,2.0,52.8,2
3354,Sarjapur  Road,5 BHK,5965.0,5.0,385.0,5
3355,Babusapalaya,2 BHK,1141.0,2.0,46.0,2
3356,Yelahanka,4 BHK,2912.5,6.0,125.5,4
3357,Doddaballapur,4 Bedroom,4200.0,4.0,325.0,4
3358,Hosa Road,3 BHK,1665.0,2.0,125.0,3
3359,Kanakapura,2 BHK,1295.0,2.0,64.0,2
3360,Haralur Road,2 BHK,1230.0,2.0,78.0,2
3361,Anand Nagar,3 BHK,1080.0,2.0,75.0,3
3362,Kaggalipura,2 BHK,1000.0,2.0,60.0,2
3363,Kaval Byrasandra,3 BHK,2400.0,2.0,50.0,3
3364,Whitefield,1 BHK,630.5,1.0,32.79,1
3365,Rayasandra,3 BHK,1708.0,3.0,75.0,3
3366,Thanisandra,3 BHK,1697.0,3.0,115.0,3
3367,Whitefield,4 BHK,3537.0,5.0,210.0,4
3368,Hosa Road,1 BHK,615.0,1.0,28.29,1
3369,Banashankari,3 BHK,1350.0,2.0,83.0,3
3371,Jalahalli,2 BHK,1083.0,2.0,32.49,2
3372,Gottigere,3 BHK,1460.0,2.0,65.0,3
3373,Babusapalaya,2 BHK,1084.0,2.0,58.0,2
3374,Bommasandra,2 BHK,1035.0,2.0,41.43,2
3375,Vijaya Bank Layout,3 BHK,2400.0,2.0,150.0,3
3376,Hosur Road,1 BHK,460.0,1.0,21.0,1
3377,Narayanappa Layout,5 BHK,950.0,5.0,90.0,5
3378,Whitefield,2 BHK,1285.0,2.0,55.9,2
3379,1Hanuman Nagar,19 BHK,2000.0,16.0,490.0,19
3380,Sarjapur,3 Bedroom,1200.0,3.0,78.0,3
3381,Raghuvanahalli,2 BHK,1070.0,2.0,35.0,2
3382,Hegde Nagar,3 BHK,1801.0,3.0,140.0,3
3383,Whitefield,3 BHK,1697.0,3.0,115.0,3
3384,AECS Layout,2 BHK,1199.0,2.0,65.0,2
3385,Iblur Village,3 BHK,2300.0,3.0,220.0,3
3386,Mysore Road,3 BHK,1340.0,2.0,64.31,3
3387,Marathahalli,4 BHK,3800.0,4.0,205.0,4
3388,Jigani,5 Bedroom,600.0,5.0,50.0,5
3389,Wilson Garden,2 BHK,1125.0,2.0,75.0,2
3390,Anandapura,2 Bedroom,1200.0,2.0,67.0,2
3391,Subramanyapura,2 BHK,1050.0,2.0,41.0,2
3392,Nagarbhavi,2 BHK,956.0,2.0,49.0,2
3393,Sarjapur,2 BHK,1000.0,2.0,30.0,2
3394,Dooravani Nagar,3 BHK,1596.0,3.0,95.0,3
3395,Kumbhena Agrahara,6 Bedroom,1200.0,5.0,150.0,6
3396,Kanakpura Road,2 BHK,1296.0,2.0,89.06,2
3397,NS Palya,6 Bedroom,1200.0,7.0,170.0,6
3398,Challaghatta,3 BHK,1639.0,3.0,123.0,3
3399,Electronic City Phase II,2 BHK,1219.0,2.0,61.25,2
3400,Uttarahalli,3 BHK,1200.0,3.0,50.0,3
3401,Bannerghatta Road,2 BHK,1218.0,2.0,73.0,2
3402,Nyanappana Halli,2 BHK,920.0,2.0,37.0,2
3403,Yeshwanthpur,3 BHK,2559.0,3.0,141.0,3
3404,2nd Phase Judicial Layout,1 BHK,525.0,1.0,26.0,1
3405,Bannerghatta Road,3 BHK,1427.0,2.0,48.51,3
3406,Kothannur,3 BHK,1270.0,3.0,45.0,3
3407,Ramagondanahalli,2 BHK,920.0,2.0,65.0,2
3408,Dommasandra,4 Bedroom,2700.0,3.0,68.0,4
3409,Indira Nagar 3rd Stage,3 BHK,1740.0,3.0,199.0,3
3410,Ramamurthy Nagar,3 BHK,1355.0,2.0,40.0,3
3411,Lingadheeranahalli,3 BHK,1530.0,2.0,90.0,3
3412,Gokula Extension,3 BHK,1372.0,2.0,90.0,3
3413,Nehru Nagar,4 BHK,2363.0,5.0,120.0,4
3414,Marathahalli,4 BHK,3895.0,4.0,220.0,4
3415,Jakkur,3 BHK,1950.0,3.0,131.0,3
3416,Hoysalanagar,2 BHK,885.0,2.0,40.0,2
3417,Yelahanka,2 BHK,600.0,2.0,27.0,2
3418,Kumaraswami Layout,5 Bedroom,1270.0,4.0,128.0,5
3419,Vijayanagar,2 Bedroom,1380.0,2.0,225.0,2
3420,Kanakpura Road,2 BHK,1339.0,2.0,62.0,2
3421,Whitefield,2 BHK,1130.0,2.0,36.0,2
3422,Uttarahalli,2 BHK,1085.0,2.0,43.0,2
3423,Yeshwanthpur,3 BHK,1430.0,3.0,72.0,3
3424,Bhoganhalli,4 BHK,1451.5,4.0,121.0,4
3425,Ramakrishnappa Layout,5 BHK,6200.0,5.0,720.0,5
3426,AGS Layout,3 BHK,1490.0,2.0,59.6,3
3427,Vishwanatha Nagenahalli,4 BHK,1650.0,4.0,99.0,4
3428,Bellandur,2 BHK,1286.0,2.0,57.0,2
3429,KR Garden,2 BHK,925.0,2.0,63.0,2
3430,Bellandur,4 BHK,3016.0,4.0,230.0,4
3431,Haralur Road,2 BHK,1000.0,2.0,44.0,2
3432,Whitefield,2 BHK,1215.0,2.0,39.0,2
3433,Kanakadasa Layout,4 Bedroom,1200.0,3.0,95.0,4
3434,Lakshminarayana Pura,2 BHK,1336.0,2.0,100.0,2
3435,Yeshwanthpur,1 BHK,673.0,1.0,36.85,1
3436,Anandapura,2 Bedroom,1200.0,2.0,58.0,2
3437,Lingarajapuram,6 Bedroom,600.0,7.0,63.0,6
3438,Malleshwaram,3 BHK,1600.0,3.0,160.0,3
3439,Mallathahalli,2 Bedroom,1200.0,2.0,79.0,2
3440,Indira Nagar,6 Bedroom,2480.0,4.0,750.0,6
3441,Jayamahal Extension,3 BHK,2500.0,3.0,270.0,3
3442,Devanahalli,5 Bedroom,2400.0,5.0,100.0,5
3443,Sector 2 HSR Layout,2 BHK,1143.0,2.0,65.0,2
3444,Kanakpura Road,2 BHK,1470.0,2.0,61.74,2
3445,Laxminarayana Layout,4 Bedroom,1584.0,3.0,145.0,4
3446,Marathahalli,3 BHK,1785.0,3.0,94.0,3
3447,Koramangala,3 BHK,2292.0,3.0,286.0,3
3448,Kothanur,3 BHK,1460.0,3.0,71.0,3
3449,Kasturi Nagar,3 BHK,1500.0,2.0,80.0,3
3450,Yelahanka,5 Bedroom,1200.0,4.0,140.0,5
3451,Sanjay nagar,5 BHK,3300.0,3.0,250.0,5
3452,Chikkalasandra,2 BHK,1230.0,2.0,48.0,2
3453,Yelahanka New Town,1 BHK,650.0,1.0,20.0,1
3454,Benson Town,2 BHK,1480.0,2.0,120.0,2
3455,Thanisandra,2 BHK,1220.0,2.0,43.92,2
3456,Dooravani Nagar,3 BHK,1570.0,3.0,115.0,3
3457,Sadashiva Nagar,3 BHK,3000.0,3.0,400.0,3
3458,Mallasandra,3 BHK,1665.0,3.0,86.91,3
3459,Banagiri Nagar,3 Bedroom,1350.0,3.0,380.0,3
3460,Sarjapur  Road,4 Bedroom,4000.0,5.0,600.0,4
3461,Ramamurthy Nagar,2 Bedroom,1100.0,2.0,68.0,2
3462,Kathriguppe,3 BHK,1350.0,2.0,87.01,3
3463,Kasavanhalli,3 BHK,1719.0,3.0,116.0,3
3464,Budigere,1 BHK,664.0,1.0,35.0,1
3465,Sonnenahalli,2 BHK,1011.0,2.0,50.53,2
3466,Akshya Nagar,6 Bedroom,2400.0,6.0,130.0,6
3467,Basaveshwara Nagar Yelahanka,3 BHK,1680.0,3.0,85.0,3
3468,Yeshwanthpur,2 BHK,717.0,2.0,49.475,2
3469,Thyagaraja Nagar,4 Bedroom,700.0,4.0,110.0,4
3470,Whitefield,3 BHK,1520.0,2.0,150.0,3
3471,Uttarahalli,3 BHK,1350.0,2.0,53.0,3
3472,Kothanur,3 BHK,1760.0,3.0,150.0,3
3473,Pattandur Agrahara,2 BHK,875.0,2.0,33.0,2
3474,Hennur,2 BHK,1231.0,2.0,48.0,2
3475,Somasundara Palya,2 BHK,1174.0,2.0,74.0,2
3476,Munnekollal,3 BHK,1560.0,3.0,75.0,3
3477,HOSUR MAIN ROAD,2 BHK,1464.0,2.0,56.0,2
3478,Kanakpura Road,3 Bedroom,2200.0,3.0,130.0,3
3479,Shivaji Nagar,2 BHK,850.0,2.0,55.0,2
3480,Sahyadri Layout,3 BHK,1750.0,3.0,180.0,3
3481,1st Phase JP Nagar,3 BHK,2024.0,3.0,157.0,3
3482,Mathikere SBM colony,2 Bedroom,1500.0,1.0,160.0,2
3483,"white field,kadugodi",6 Bedroom,2100.0,6.0,275.0,6
3484,Kodihalli,3 BHK,2408.0,4.0,260.0,3
3485,Devanahalli,2 BHK,1080.0,2.0,44.0,2
3486,Indira Nagar,3 BHK,2070.0,3.0,225.0,3
3487,Electronic City,2 BHK,1020.0,2.0,29.46,2
3488,Begur Road,3 BHK,1500.0,2.0,55.0,3
3489,Mahalakshmi Layout,4 Bedroom,1575.0,5.0,158.0,4
3490,Kodichikkanahalli,4 Bedroom,3250.0,4.0,180.0,4
3491,Uttarahalli,2 BHK,1175.0,2.0,47.0,2
3492,Channasandra,2 BHK,1030.0,2.0,34.5,2
3493,Hebbal,2 BHK,1440.0,2.0,115.0,2
3494,Hoodi,2 BHK,1500.0,2.0,84.0,2
3495,Thanisandra,1 Bedroom,1380.0,1.0,62.1,1
3496,Bagalur,2 BHK,1200.0,2.0,50.0,2
3497,Vinayak Nagar,1 BHK,705.0,1.0,36.5,1
3498,Harlur,3 BHK,2240.0,5.0,155.0,3
3499,Hegde Nagar,3 BHK,1584.01,3.0,103.0,3
3500,P Krishnappa Layout,3 BHK,1340.0,3.0,77.0,3
3501,Green Garden Layout,3 BHK,1800.0,3.0,70.0,3
3502,R.T. Nagar,2 BHK,1200.0,2.0,45.0,2
3503,Sarjapur  Road,1 BHK,685.0,1.0,40.0,1
3504,Kalkere,2 BHK,925.0,2.0,42.0,2
3505,Crimson Layout,2 BHK,1230.0,2.0,57.0,2
3506,Manjunath Nagar,5 Bedroom,1200.0,5.0,185.0,5
3507,Kodichikkanahalli,2 BHK,1125.0,2.0,52.0,2
3508,Hebbal,2 BHK,1100.0,2.0,54.0,2
3509,Jigani,3 Bedroom,2400.0,3.0,149.0,3
3510,Electronic City Phase II,3 BHK,1400.0,2.0,41.58,3
3511,Uttarahalli,7 Bedroom,1200.0,7.0,225.0,7
3512,Jakkur,3 BHK,1858.0,3.0,98.3,3
3513,Adityanagar,1 Bedroom,1260.0,1.0,41.0,1
3514,Ambedkar Nagar,4 BHK,3530.0,4.0,290.0,4
3515,HSR Layout,2 BHK,1185.0,2.0,60.0,2
3516,RMV 2nd Stage,2 Bedroom,1200.0,2.0,216.0,2
3517,Hennur,2 BHK,1255.0,2.0,58.0,2
3518,Rajaji Nagar,4 BHK,3436.0,6.0,475.0,4
3519,Kudlu Gate,3 BHK,1335.0,3.0,89.0,3
3520,Dodda Nekkundi,3 BHK,1999.0,3.0,132.0,3
3521,Kanaka Nagar,2 Bedroom,1200.0,2.0,125.0,2
3522,Kundalahalli,3 BHK,1397.0,3.0,110.0,3
3523,Jigani,10 Bedroom,1200.0,10.0,105.0,10
3524,Cooke Town,4 BHK,3950.0,4.0,450.0,4
3525,Yelahanka New Town,2 Bedroom,1200.0,2.0,130.0,2
3526,Chikka Tirupathi,3 Bedroom,1616.0,3.0,95.0,3
3527,Banashankari Stage III,8 Bedroom,1200.0,7.0,350.0,8
3528,Hanumantha Nagar,4 Bedroom,1270.0,2.0,175.0,4
3529,Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,38.55,2
3530,Kanakpura Road,1 BHK,525.0,1.0,30.0,1
3531,Varthur,3 Bedroom,1200.0,2.0,98.0,3
3532,Bagalakunte,1 Bedroom,700.0,1.0,162.0,1
3533,Balagere,2 BHK,1205.47,2.0,81.0,2
3534,T Dasarahalli,3 Bedroom,1200.0,3.0,130.0,3
3535,Electronic City,3 BHK,1700.0,3.0,75.0,3
3536,Thanisandra,5 Bedroom,750.0,4.0,62.0,5
3537,Kanakpura Road,2 BHK,1090.0,2.0,54.54,2
3538,Yeshwanthpur,4 BHK,3600.0,5.0,220.0,4
3539,Kundalahalli,1 BHK,2400.0,1.0,650.0,1
3540,Thanisandra,1 BHK,923.0,1.0,60.84,1
3541,Muthurayya Swamy Layout,4 BHK,3595.0,6.0,360.0,4
3542,Green Glen Layout,2 BHK,1050.0,2.0,48.0,2
3543,Whitefield,2 BHK,1495.0,2.0,79.5,2
3545,Narayanapura,3 BHK,1485.0,3.0,85.0,3
3546,Dommasandra,3 BHK,1033.0,2.0,31.5,3
3547,Electronic City,3 BHK,1400.0,2.0,48.0,3
3548,Indira Nagar,1 Bedroom,500.0,1.0,70.0,1
3549,Sarjapur  Road,2 BHK,944.0,2.0,35.0,2
3550,Whitefield,5 Bedroom,3250.0,5.0,290.0,5
3551,Whitefield,2 BHK,1216.0,2.0,66.48,2
3552,Thirumenahalli,2 BHK,1100.0,2.0,39.5,2
3553,Thanisandra,3 BHK,1743.0,3.0,93.25,3
3554,Yelahanka,2 BHK,1274.0,2.0,48.42,2
3555,Lavelle Road,3 BHK,2500.0,3.0,425.0,3
3556,Mysore Road,3 BHK,1512.0,2.0,110.0,3
3557,Dollars Colony,4 BHK,3100.0,5.0,385.0,4
3558,Cox Town,3 BHK,1650.0,3.0,100.0,3
3559,Doddathoguru,3 BHK,1875.0,3.0,55.0,3
3560,Whitefield,3 BHK,1350.0,3.0,54.0,3
3561,Rajiv Gandhi Nagar,2 BHK,1219.0,2.0,40.0,2
3562,Goraguntepalya,4 Bedroom,1200.0,4.0,150.0,4
3563,Sarjapura - Attibele Road,3 Bedroom,2400.0,3.0,85.0,3
3564,Hormavu,2 BHK,1141.0,2.0,44.4,2
3565,Anandapura,2 BHK,1151.0,2.0,43.1,2
3566,Bommenahalli,3 Bedroom,832.0,3.0,77.0,3
3567,Sarjapur  Road,2 BHK,915.0,2.0,38.0,2
3568,Rajankunte,3 Bedroom,3259.0,3.0,270.0,3
3569,Bannerghatta Road,2 BHK,1115.0,2.0,65.12,2
3570,Thigalarapalya,3 BHK,2072.0,4.0,139.0,3
3571,Kaggadasapura,2 BHK,1200.0,2.0,53.0,2
3572,Singasandra,2 BHK,1300.0,2.0,65.0,2
3573,Bellandur,2 BHK,1457.0,2.0,85.0,2
3574,Kannamangala,2 BHK,1262.0,2.0,55.0,2
3575,BEML Layout,4 Bedroom,1196.0,3.0,150.0,4
3576,Ananth Nagar,2 BHK,900.0,2.0,22.5,2
3577,Attibele,1 BHK,420.0,1.0,17.0,1
3578,Kanakapura,2 BHK,1160.0,2.0,46.39,2
3579,Kasavanhalli,2 BHK,1115.0,2.0,50.0,2
3580,JP Nagar,3 BHK,1315.0,2.0,85.4,3
3581,Babusapalaya,2 BHK,1500.0,2.0,57.0,2
3582,HSR Layout,2 BHK,1127.0,2.0,68.0,2
3583,Kundalahalli,3 BHK,1397.0,3.0,104.0,3
3584,Whitefield,2 BHK,1173.0,2.0,60.0,2
3585,Sompura,2 BHK,1090.0,2.0,28.0,2
3586,Sarjapur  Road,3 BHK,2720.0,5.0,210.0,3
3587,Jakkur,2 BHK,1230.0,2.0,76.0,2
3588,6th Block Rajaji Nagar,4 BHK,3200.0,3.0,190.0,4
3589,Sarjapur  Road,2 BHK,858.0,2.0,31.57,2
3590,Talaghattapura,3 BHK,1868.0,3.0,121.0,3
3591,Uttarahalli,3 BHK,1689.28,3.0,91.2,3
3592,Vishwapriya Layout,4 BHK,600.0,3.0,73.0,4
3593,Banashankari,3 BHK,1425.0,3.0,49.88,3
3594,Subramanyapura,6 Bedroom,1200.0,6.0,170.0,6
3595,Tindlu,2 Bedroom,1350.0,2.0,100.0,2
3596,Channasandra,6 Bedroom,4200.0,6.0,180.0,6
3597,Uttarahalli,3 BHK,1310.0,2.0,85.0,3
3599,MLA Layout,2 BHK,970.0,2.0,40.0,2
3600,Kundalahalli,3 BHK,1397.0,3.0,108.0,3
3601,Sarjapur,2 BHK,1157.0,2.0,40.0,2
3602,Kasavanhalli,2 BHK,1125.0,2.0,61.2,2
3603,Sonnenahalli,2 BHK,1157.0,2.0,42.0,2
3604,Sarjapur  Road,2 BHK,1241.0,2.0,82.0,2
3605,Binny Pete,1 BHK,660.0,1.0,62.0,1
3606,Marathahalli,4 BHK,4000.0,4.0,220.0,4
3607,Rajiv Nagar,4 BHK,2340.0,4.0,148.0,4
3608,Venkatadri Layout,1 BHK,596.0,1.0,42.0,1
3609,Koramangala Industrial Layout,16 BHK,10000.0,16.0,550.0,16
3610,Kyalasanahalli,4 Bedroom,1200.0,4.0,110.0,4
3611,Ambedkar Colony,3 BHK,1910.0,3.0,190.0,3
3612,Brookefield,2 BHK,1139.0,2.0,80.0,2
3613,Thigalarapalya,4 BHK,3122.0,5.0,225.0,4
3614,Sarjapura - Attibele Road,2 BHK,1033.0,2.0,28.41,2
3615,Yeshwanthpur,2 BHK,1168.0,2.0,64.08,2
3616,Chandapura,2 BHK,877.0,2.0,42.0,2
3617,Electronics City Phase 1,2 BHK,1340.0,2.0,75.0,2
3618,B Narayanapura,3 BHK,1405.0,2.0,70.0,3
3619,Siddapura,3 BHK,1800.0,3.0,65.0,3
3620, Devarabeesana Halli,3 BHK,1750.0,3.0,149.0,3
3621,Motappa Layout,3 BHK,1360.0,2.0,65.0,3
3622,Malleshwaram,3 Bedroom,675.0,2.0,148.0,3
3623,Byrasandra,2 BHK,985.0,2.0,63.0,2
3624,Victoria Layout,2 BHK,1300.0,2.0,129.0,2
3625,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3
3626,Rustam Bagh Layout,3 BHK,1490.0,2.0,88.0,3
3627,Byagadadhenahalli,2 BHK,620.0,1.0,25.0,2
3628,Hormavu,2 BHK,1130.0,2.0,42.3,2
3629,Yelachenahalli,2 BHK,1080.0,2.0,55.0,2
3630,Singasandra,4 BHK,3126.0,4.0,120.0,4
3631,Begur Road,3 BHK,1410.0,2.0,52.17,3
3632,Bommanahalli,3 BHK,1375.0,3.0,59.0,3
3633,Hennur Road,3 BHK,1290.0,2.0,94.5,3
3634,Hosa Road,3 BHK,1318.0,2.0,85.28,3
3635,Electronic City,2 BHK,1128.0,2.0,68.0,2
3636,Meenakunte,4 Bedroom,4428.0,4.0,255.0,4
3637,Kanakpura Road,2 BHK,1051.0,2.0,56.74,2
3638,Kengeri,3 Bedroom,3500.0,5.0,275.0,3
3639,Kannamangala,4 Bedroom,2400.0,4.0,130.0,4
3640,Yelahanka,2 BHK,1327.0,2.0,85.0,2
3641,Thigalarapalya,4 BHK,2912.0,6.0,210.0,4
3642,Basapura,2 BHK,1301.0,2.0,55.0,2
3643,Thippasandra,1 BHK,650.0,1.0,30.0,1
3644,Varthur,3 Bedroom,1200.0,3.0,67.75,3
3645,Banagiri Nagar,3 BHK,1500.0,2.0,89.99,3
3646,Kumara Park,4 Bedroom,2700.0,6.0,675.0,4
3647,Nagadevanahalli,4 Bedroom,1350.0,4.0,145.0,4
3648,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2
3649,Sarjapur  Road,2 BHK,984.0,2.0,45.91,2
3650,Jakkur,3 BHK,1819.18,3.0,160.0,3
