,location,total_sqft,bath,price,bhk
2237,Electronics City Phase 1,1124.0,2.0,55.0,3
2238,Electronics City Phase 1,1175.0,2.0,57.0,2
2239,Electronics City Phase 1,755.0,1.0,42.41,1
2240,Electronics City Phase 1,580.0,1.0,27.0,1
2241,Electronics City Phase 1,940.0,2.0,49.0,2
2242,Electronics City Phase 1,1335.0,2.0,67.0,2
2243,Electronics City Phase 1,1113.12,2.0,55.0,2
2245,Electronics City Phase 1,1350.0,3.0,71.0,3
2247,Electronics City Phase 1,995.0,2.0,49.8,2
2248,Electronics City Phase 1,635.0,1.0,26.0,1
2249,Electronics City Phase 1,1190.0,2.0,68.0,2
2251,Electronics City Phase 1,1450.0,3.0,72.54,3
2252,Electronics City Phase 1,360.0,1.0,16.9,1
2253,Electronics City Phase 1,638.0,1.0,32.0,1
2254,Electronics City Phase 1,1175.0,2.0,64.98,2
2255,Electronics City Phase 1,585.0,1.0,21.0,1
2256,Electronics City Phase 1,1200.0,2.0,59.76,2
2257,Electronics City Phase 1,1145.0,2.0,54.0,2
2258,Electronics City Phase 1,1125.0,2.0,65.0,2
2259,Electronics City Phase 1,1550.0,2.0,82.0,3
2261,Electronics City Phase 1,865.0,2.0,40.0,2
2265,Electronics City Phase 1,1800.0,3.0,93.0,3
2266,Electronics City Phase 1,1314.0,2.0,60.0,2
2267,Electronics City Phase 1,1170.0,2.0,62.0,2
2268,Electronics City Phase 1,1450.0,3.0,79.0,3
2269,Electronics City Phase 1,940.0,2.0,48.0,2
2270,Electronics City Phase 1,940.0,2.0,44.0,2
2271,Electronics City Phase 1,1300.0,2.0,67.0,2
2272,Electronics City Phase 1,1028.0,2.0,51.0,2
2274,Electronics City Phase 1,1205.0,2.0,60.0,2
2276,Electronics City Phase 1,1305.0,2.0,67.0,2
2277,Electronics City Phase 1,755.0,1.0,30.12,1
2278,Electronics City Phase 1,1175.0,2.0,60.0,2
2279,Frazer Town,1700.0,3.0,180.0,3
2280,Frazer Town,1305.0,3.0,95.45,3
2281,Frazer Town,1870.0,3.0,185.0,3
2282,Frazer Town,1750.0,3.0,150.0,3
2284,Frazer Town,2000.0,3.0,200.0,3
2285,Frazer Town,3500.0,4.0,330.0,3
2286,Frazer Town,2350.0,4.0,285.0,3
2287,Frazer Town,1550.0,2.0,140.0,2
2288,Frazer Town,1900.0,4.0,145.0,3
2289,Frazer Town,2560.0,3.0,265.0,3
2290,Frazer Town,2400.0,3.0,260.0,3
2291,Frazer Town,2560.0,3.0,288.0,3
2292,Frazer Town,3436.0,5.0,341.0,4
2294,Frazer Town,1315.0,2.0,140.0,2
2295,Frazer Town,1706.0,3.0,154.0,3
2296,Frazer Town,2079.0,3.0,220.0,3
2297,Frazer Town,3435.0,2.0,341.0,4
2298,Frazer Town,3436.0,5.0,345.0,4
2299,Frazer Town,3100.0,3.0,400.0,3
2300,Frazer Town,5400.0,3.0,400.0,3
2301,Frazer Town,1180.0,2.0,105.0,2
2302,Frazer Town,2900.0,4.0,325.0,4
2303,Frazer Town,1870.0,3.0,180.0,3
2304,Frazer Town,896.0,1.0,100.0,1
2305,Frazer Town,1420.0,2.0,120.0,2
2306,GM Palaya,1820.0,2.0,86.0,3
2307,GM Palaya,1225.0,2.0,47.0,2
2308,GM Palaya,1140.0,2.0,48.95,2
2309,GM Palaya,1315.0,2.0,65.0,3
2310,GM Palaya,1315.0,3.0,65.0,3
2311,GM Palaya,1315.0,3.0,64.0,3
2312,GM Palaya,1735.0,3.0,70.0,3
2313,GM Palaya,1643.0,2.0,70.0,3
2314,Garudachar Palya,1325.0,2.0,60.8,3
2315,Garudachar Palya,1060.0,2.0,48.7,2
2316,Garudachar Palya,1150.0,2.0,52.75,2
2317,Garudachar Palya,1295.0,2.0,59.5,3
2318,Garudachar Palya,1320.0,2.0,60.6,3
2319,Garudachar Palya,1295.0,2.0,59.5,3
2320,Garudachar Palya,1150.0,2.0,52.8,2
2321,Garudachar Palya,1150.0,2.0,52.8,2
2322,Garudachar Palya,1060.0,2.0,48.5,2
2323,Garudachar Palya,1150.0,2.0,52.5,2
2324,Garudachar Palya,1325.0,2.0,60.8,3
2325,Garudachar Palya,1060.0,2.0,48.66,2
2326,Garudachar Palya,1150.0,2.0,52.0,2
2327,Garudachar Palya,1154.0,2.0,51.8,2
2329,Giri Nagar,2400.0,4.0,400.0,4
2330,Giri Nagar,1800.0,3.0,252.0,3
2331,Giri Nagar,1350.0,3.0,240.0,3
2332,Giri Nagar,2400.0,4.0,400.0,4
2333,Giri Nagar,3000.0,4.0,375.0,6
2334,Giri Nagar,2400.0,6.0,400.0,6
2335,Giri Nagar,4000.0,3.0,750.0,4
2336,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2337,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2338,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2339,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2340,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2341,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2342,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2343,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2344,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2345,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2346,Gottigere,1100.0,2.0,40.0,2
2347,Gottigere,967.0,2.0,45.0,2
2348,Gottigere,1618.0,3.0,82.5,3
2349,Gottigere,1222.0,2.0,63.0,2
2351,Gottigere,1300.0,3.0,65.0,3
2352,Gottigere,950.0,2.0,38.0,2
2353,Gottigere,1153.0,2.0,48.5,2
2354,Gottigere,812.0,1.0,26.0,1
2356,Gottigere,1460.0,2.0,65.0,3
2357,Gottigere,1500.0,3.0,70.0,3
2358,Gottigere,1621.0,3.0,72.0,3
2359,Gottigere,812.0,1.0,26.0,1
2360,Gottigere,990.0,2.0,40.0,2
2361,Gottigere,1235.0,2.0,63.0,2
2362,Gottigere,1385.0,3.0,64.0,3
2363,Gottigere,1000.0,2.0,35.0,2
2364,Gottigere,1010.0,2.0,35.0,2
2366,Gottigere,1410.0,2.0,45.0,2
2368,Gottigere,1435.0,2.0,62.0,3
2369,Gottigere,945.0,2.0,45.0,2
2371,Gottigere,2500.0,3.0,120.0,4
2372,Gottigere,1230.0,2.0,52.0,3
2373,Gottigere,1120.0,2.0,50.0,2
2374,Gottigere,1500.0,3.0,63.0,3
2375,Gottigere,1200.0,2.0,40.0,2
2376,Gottigere,1280.0,2.0,61.0,2
2377,Gottigere,1205.0,2.0,56.58,2
2378,Gottigere,1170.0,2.0,40.0,2
2379,Gottigere,3000.0,3.0,132.0,4
2380,Gottigere,1613.0,3.0,72.0,3
2381,Gottigere,1110.0,2.0,36.25,2
2382,Gottigere,1245.0,2.0,59.0,2
2383,Gottigere,1200.0,2.0,50.0,2
2384,Green Glen Layout,1670.0,3.0,120.0,3
2385,Green Glen Layout,3250.0,4.0,230.0,4
2386,Green Glen Layout,1776.42,3.0,105.0,3
2387,Green Glen Layout,3250.0,4.0,230.0,4
2388,Green Glen Layout,940.0,2.0,56.8,2
2389,Green Glen Layout,1075.0,2.0,60.0,2
2390,Green Glen Layout,1715.0,3.0,115.0,3
2391,Green Glen Layout,1751.0,2.0,115.0,3
2392,Green Glen Layout,1750.0,3.0,130.0,3
2393,Green Glen Layout,1530.0,3.0,105.0,3
2394,Green Glen Layout,1752.0,3.0,105.0,3
2395,Green Glen Layout,1680.0,4.0,95.0,3
2396,Green Glen Layout,1728.0,3.0,125.0,3
2397,Green Glen Layout,1645.0,3.0,110.0,3
2398,Green Glen Layout,1517.0,3.0,100.0,3
2399,Green Glen Layout,3150.0,4.0,218.0,4
2401,Green Glen Layout,1750.0,3.0,120.0,3
2402,Green Glen Layout,1751.0,3.0,115.0,3
2403,Green Glen Layout,1750.0,3.0,105.0,3
2404,Green Glen Layout,1885.0,3.0,135.0,3
2405,Green Glen Layout,1715.0,3.0,120.0,3
2406,Green Glen Layout,1623.29,2.0,105.0,3
2407,Green Glen Layout,1715.0,3.0,115.0,3
2408,Green Glen Layout,1715.0,3.0,105.0,3
2409,Green Glen Layout,1600.0,3.0,105.0,3
2410,Green Glen Layout,1717.0,3.0,125.0,3
2411,Green Glen Layout,1250.0,2.0,75.0,2
2412,Green Glen Layout,1715.0,3.0,112.0,3
2413,Gubbalala,1470.0,2.0,82.0,3
2414,Gubbalala,1745.0,3.0,104.0,3
2415,Gubbalala,1745.0,3.0,115.0,3
2416,Gubbalala,1745.0,3.0,110.0,3
2417,Gubbalala,1650.0,3.0,71.0,3
2418,Gubbalala,2570.0,4.0,141.0,5
2419,Gubbalala,1205.0,2.0,70.0,2
2420,Gubbalala,1435.0,2.0,80.0,3
2421,Gubbalala,1475.0,2.0,80.0,2
2423,Gubbalala,1100.0,2.0,49.5,2
2424,Gubbalala,1060.0,2.0,46.0,2
2425,Gubbalala,2000.0,3.0,125.0,3
2427,Gunjur,1140.0,2.0,43.0,2
2428,Gunjur,1356.0,2.0,66.0,3
2429,Gunjur,1600.0,3.0,75.0,3
2430,Gunjur,2000.0,3.0,95.0,4
2431,Gunjur,1140.0,2.0,49.11,2
2432,Gunjur,1195.0,2.0,44.0,2
2433,Gunjur,1190.0,2.0,40.0,2
2434,Gunjur,1457.0,2.0,60.0,2
2435,Gunjur,1080.0,2.0,41.0,2
2438,Gunjur,1175.0,2.0,43.48,2
2439,Gunjur,1362.0,3.0,62.63,3
2440,Gunjur,1071.0,2.0,51.0,2
2441,Gunjur,1063.0,2.0,40.0,2
2442,Gunjur,1235.0,2.0,52.76,2
2443,Gunjur,1362.0,3.0,62.63,3
2444,Gunjur,1362.0,3.0,62.63,3
2445,Gunjur,1588.0,2.0,90.0,3
2446,Gunjur,1235.0,2.0,44.5,2
2447,Gunjur,1457.0,2.0,60.0,2
2448,HAL 2nd Stage,1490.0,2.0,300.0,3
2449,HAL 2nd Stage,2100.0,3.0,252.0,3
2450,HAL 2nd Stage,2700.0,3.0,500.0,3
2451,HAL 2nd Stage,2040.0,4.0,500.0,5
2452,HBR Layout,2800.0,2.0,200.0,3
2453,HBR Layout,1722.0,3.0,95.0,3
2454,HBR Layout,1200.0,2.0,60.0,2
2455,HBR Layout,1004.0,2.0,49.0,2
2456,HBR Layout,1783.0,3.0,125.0,3
2457,HBR Layout,1656.0,3.0,90.0,3
2458,HBR Layout,1089.0,2.0,60.0,2
2459,HBR Layout,1700.0,3.0,110.0,3
2460,HBR Layout,1198.0,2.0,65.0,2
2461,HBR Layout,1200.0,2.0,120.0,2
2462,HBR Layout,1832.0,3.0,160.0,3
2463,HRBR Layout,1374.0,2.0,95.0,2
2464,HRBR Layout,1440.0,2.0,98.0,2
2466,HRBR Layout,2800.0,3.0,250.0,3
2467,HRBR Layout,1210.0,2.0,75.0,2
2468,HRBR Layout,1265.0,2.0,78.0,2
2469,HRBR Layout,1170.0,2.0,75.0,2
2471,HRBR Layout,1900.0,3.0,90.0,4
2472,HRBR Layout,1625.0,3.0,120.0,3
2473,HRBR Layout,1301.0,2.0,120.0,2
2474,HRBR Layout,1145.0,2.0,68.5,2
2475,HRBR Layout,1300.0,2.0,90.0,2
2477,HSR Layout,1372.0,2.0,68.0,2
2479,HSR Layout,1475.0,3.0,75.0,3
2480,HSR Layout,1467.0,2.0,55.0,2
2481,HSR Layout,1140.0,2.0,46.0,2
2482,HSR Layout,1372.0,2.0,61.0,2
2483,HSR Layout,1750.0,3.0,95.0,3
2485,HSR Layout,1027.0,2.0,44.0,2
2486,HSR Layout,1650.0,3.0,110.0,3
2487,HSR Layout,1140.0,2.0,46.0,2
2488,HSR Layout,1372.0,2.0,61.0,2
2489,HSR Layout,1140.0,2.0,46.0,2
2490,HSR Layout,1185.0,2.0,60.0,2
2491,HSR Layout,1127.0,2.0,68.0,2
2492,HSR Layout,1600.0,2.0,115.0,3
2493,HSR Layout,1145.0,2.0,48.0,2
2494,HSR Layout,1009.0,2.0,56.0,2
2495,HSR Layout,1300.0,2.0,98.0,2
2497,HSR Layout,1140.0,2.0,46.0,2
2498,HSR Layout,1126.0,2.0,69.0,2
2500,HSR Layout,1140.0,2.0,46.0,2
2501,HSR Layout,1145.0,2.0,46.0,2
2502,HSR Layout,1142.0,2.0,65.0,2
2503,HSR Layout,1145.0,2.0,46.0,2
2504,HSR Layout,1844.0,3.0,95.0,3
2505,HSR Layout,1203.0,2.0,72.0,2
2506,HSR Layout,1140.0,2.0,46.0,2
2507,HSR Layout,4200.0,5.0,245.0,5
2508,HSR Layout,1140.0,2.0,46.0,2
2509,HSR Layout,1145.0,2.0,46.0,2
2510,HSR Layout,1009.0,2.0,56.0,2
2511,HSR Layout,1145.0,2.0,46.0,2
2512,HSR Layout,1100.0,2.0,44.0,2
2513,HSR Layout,1203.0,2.0,60.0,2
2514,HSR Layout,1120.0,2.0,70.0,2
2515,HSR Layout,1140.0,2.0,46.0,2
2516,HSR Layout,1289.0,2.0,70.0,2
2517,HSR Layout,1844.0,3.0,89.0,3
2518,HSR Layout,1203.0,2.0,60.0,2
2519,HSR Layout,1140.0,2.0,46.0,2
2520,Haralur Road,1240.0,2.0,70.0,2
2521,Haralur Road,1027.0,2.0,44.0,2
2523,Haralur Road,2805.0,5.0,154.0,4
2524,Haralur Road,1194.0,2.0,47.0,2
2525,Haralur Road,1202.0,2.0,53.0,2
2526,Haralur Road,1056.0,2.0,61.0,2
2528,Haralur Road,1810.0,3.0,100.0,3
2529,Haralur Road,1194.0,2.0,46.0,2
2530,Haralur Road,2805.0,4.0,154.0,4
2531,Haralur Road,1225.0,2.0,67.38,2
2532,Haralur Road,1243.0,2.0,46.0,2
2533,Haralur Road,1027.0,2.0,44.0,2
2534,Haralur Road,1920.0,3.0,115.0,3
2535,Haralur Road,1875.0,3.0,110.0,3
2536,Haralur Road,1194.0,2.0,47.0,2
2537,Haralur Road,1140.0,2.0,43.0,2
2538,Haralur Road,1027.0,2.0,44.0,2
2539,Haralur Road,1194.0,2.0,46.0,2
2540,Haralur Road,2017.0,3.0,125.0,3
2541,Haralur Road,1140.0,2.0,43.0,2
2542,Haralur Road,1875.0,3.0,110.0,3
2543,Haralur Road,1092.0,2.0,44.0,2
2544,Haralur Road,2475.0,4.0,130.0,3
2545,Haralur Road,1300.0,2.0,73.0,2
2546,Haralur Road,1194.0,2.0,47.0,2
2547,Haralur Road,1243.0,2.0,46.0,2
2548,Haralur Road,1850.0,3.0,110.0,3
2549,Haralur Road,1225.0,2.0,67.38,2
2550,Haralur Road,1243.0,2.0,46.0,2
2551,Haralur Road,1464.0,2.0,56.0,2
2552,Haralur Road,1230.0,2.0,78.0,2
2553,Haralur Road,1000.0,2.0,44.0,2
2554,Haralur Road,1300.0,2.0,79.0,2
2555,Haralur Road,1444.0,2.0,80.0,3
2556,Haralur Road,1088.0,2.0,68.0,2
2557,Haralur Road,1027.0,2.0,44.0,2
2559,Haralur Road,1225.0,2.0,70.0,2
2561,Haralur Road,1194.0,2.0,46.0,2
2562,Haralur Road,1830.0,3.0,101.0,3
2563,Haralur Road,1464.0,2.0,56.0,2
2564,Haralur Road,1520.0,2.0,96.0,3
2565,Haralur Road,1300.0,2.0,75.0,2
2566,Haralur Road,2017.0,2.0,125.0,3
2567,Haralur Road,1243.0,2.0,46.0,2
2568,Haralur Road,1027.0,2.0,44.0,2
2569,Haralur Road,2805.0,5.0,160.0,4
2570,Haralur Road,1243.0,2.0,46.0,2
2571,Haralur Road,1027.0,2.0,44.0,2
2572,Haralur Road,2017.0,3.0,105.0,3
2573,Haralur Road,1243.0,2.0,46.0,2
2574,Haralur Road,1243.0,2.0,46.0,2
2575,Haralur Road,1520.0,2.0,90.0,3
2576,Haralur Road,1300.0,2.0,60.0,2
2577,Haralur Road,1985.0,3.0,130.0,3
2578,Haralur Road,1056.0,2.0,60.0,2
2579,Haralur Road,1140.0,2.0,42.0,2
2580,Haralur Road,1245.0,2.0,62.0,2
2581,Haralur Road,1140.0,2.0,58.0,2
2582,Haralur Road,1140.0,2.0,42.0,2
2583,Haralur Road,1027.0,2.0,43.0,2
2584,Haralur Road,1194.0,2.0,47.0,2
2585,Haralur Road,1194.0,2.0,47.0,2
2586,Haralur Road,1560.0,3.0,90.0,3
2587,Haralur Road,1520.0,2.0,85.0,3
2588,Haralur Road,1243.0,2.0,45.0,2
2589,Haralur Road,1027.0,2.0,44.0,2
2590,Haralur Road,1194.0,2.0,46.0,2
2591,Haralur Road,1650.0,3.0,100.0,3
2592,Haralur Road,1580.0,3.0,73.0,3
2593,Haralur Road,1243.0,2.0,46.0,2
2594,Haralur Road,1194.0,2.0,47.0,2
2595,Haralur Road,2805.0,4.0,154.0,4
2596,Haralur Road,1520.0,2.0,96.0,3
2597,Haralur Road,1510.0,3.0,83.05,3
2598,Haralur Road,1056.0,2.0,65.0,2
2599,Haralur Road,1810.0,3.0,100.0,3
2600,Haralur Road,1243.0,2.0,46.0,2
2601,Haralur Road,575.0,1.0,38.0,1
2602,Haralur Road,1194.0,2.0,46.0,2
2603,Haralur Road,1243.0,2.0,46.0,2
2604,Haralur Road,1194.0,2.0,46.0,2
2605,Haralur Road,1140.0,2.0,43.0,2
2606,Haralur Road,1850.0,3.0,120.0,3
2607,Haralur Road,1194.0,2.0,47.0,2
2608,Haralur Road,1194.0,2.0,47.0,2
2610,Haralur Road,1243.0,2.0,46.0,2
2611,Haralur Road,1710.0,3.0,85.0,3
2612,Haralur Road,1730.0,3.0,95.0,3
2613,Haralur Road,1243.0,2.0,46.0,2
2614,Haralur Road,1243.0,2.0,46.0,2
2615,Haralur Road,1243.0,2.0,46.0,2
2616,Haralur Road,1817.0,3.0,110.0,3
2617,Haralur Road,1225.0,2.0,77.0,2
2618,Haralur Road,1285.0,2.0,78.0,2
2619,Haralur Road,1225.0,2.0,67.48,2
2620,Haralur Road,1225.0,2.0,69.84,2
2621,Haralur Road,1200.0,2.0,46.0,2
2622,Haralur Road,1315.0,2.0,85.0,2
2623,Haralur Road,1976.0,3.0,92.0,3
2624,Haralur Road,1300.0,2.0,75.0,2
2625,Haralur Road,1309.0,2.0,82.0,2
2626,Haralur Road,1027.0,1.0,44.0,2
2627,Haralur Road,1243.0,2.0,46.0,2
2628,Haralur Road,1243.0,2.0,46.0,2
2629,Haralur Road,1140.0,2.0,43.0,2
2630,Haralur Road,1300.0,2.0,75.0,2
2631,Haralur Road,1243.0,2.0,46.0,2
2632,Haralur Road,1890.0,3.0,84.0,3
2633,Haralur Road,1230.0,2.0,67.65,2
2634,Haralur Road,1194.0,2.0,46.0,2
2635,Haralur Road,1092.0,2.0,44.0,2
2637,Haralur Road,1735.0,3.0,97.0,3
2638,Haralur Road,1810.0,3.0,97.83,3
2639,Haralur Road,1200.0,2.0,46.0,2
2640,Haralur Road,1243.0,2.0,46.0,2
2641,Haralur Road,1810.0,3.0,112.0,3
2642,Harlur,1174.0,2.0,69.0,2
2643,Harlur,1197.0,2.0,84.0,2
2644,Harlur,1757.0,3.0,132.0,3
2645,Harlur,1174.0,2.0,76.0,2
2646,Harlur,1754.0,3.0,125.0,3
2647,Harlur,1290.0,2.0,85.0,2
2648,Harlur,1752.12,3.0,116.0,3
2649,Harlur,1754.0,3.0,124.0,3
2650,Harlur,1152.0,2.0,69.0,2
2651,Harlur,1290.0,2.0,87.0,2
2652,Harlur,1749.0,3.0,115.0,3
2654,Harlur,1758.0,3.0,133.0,3
2656,Harlur,1197.0,2.0,79.0,2
2657,Harlur,1174.0,2.0,78.0,2
2659,Harlur,1197.0,2.0,79.0,2
2661,Harlur,1174.0,2.0,75.0,2
2662,Harlur,1620.0,3.0,110.0,3
2665,Harlur,1762.0,3.0,133.0,3
2666,Harlur,1756.0,3.0,131.0,3
2667,Harlur,1755.0,3.0,130.0,3
2668,Harlur,1864.0,3.0,140.0,3
2669,Harlur,1331.0,2.0,88.0,2
2670,Harlur,1756.0,3.0,128.0,3
2671,Harlur,1749.0,3.0,120.0,3
2672,Harlur,1197.0,2.0,82.0,2
2673,Harlur,1303.0,2.0,90.0,2
2674,Harlur,1754.0,3.0,132.0,3
2675,Harlur,1174.0,2.0,75.0,2
2676,Harlur,1197.0,2.0,78.0,2
2677,Harlur,1290.0,2.0,89.9,2
2678,Harlur,1386.0,2.0,85.0,2
2679,Harlur,1174.0,2.0,74.0,2
2680,Harlur,1174.0,2.0,78.0,2
2681,Harlur,1755.0,3.0,115.0,3
2684,Harlur,1197.0,2.0,77.0,2
2685,Harlur,1752.12,3.0,125.0,3
2686,Harlur,2569.0,5.0,180.0,4
2687,Harlur,1197.0,2.0,76.0,2
2688,Harlur,1197.0,2.0,75.0,2
2689,Harlur,1755.0,3.0,117.0,3
2690,Harlur,1197.0,2.0,79.9,2
2691,Harlur,2990.0,4.0,225.0,4
2692,Harlur,1370.0,2.0,88.0,2
2693,Harlur,1335.0,2.0,72.76,2
2694,Hebbal,1760.0,2.0,123.0,3
2695,Hebbal,5611.5,4.0,477.0,4
2697,Hebbal,1349.0,2.0,98.2,2
2698,Hebbal,2483.0,5.0,212.0,4
2699,Hebbal,1760.0,2.0,130.0,3
2701,Hebbal,1920.0,3.0,134.0,3
2702,Hebbal,1337.0,2.0,82.0,2
2703,Hebbal,1349.0,2.0,98.0,2
2706,Hebbal,1790.0,3.0,127.0,3
2707,Hebbal,687.325,2.0,42.72,2
2708,Hebbal,2790.0,5.0,198.0,4
2709,Hebbal,1985.0,4.0,189.0,3
2710,Hebbal,2483.0,5.0,215.0,4
2711,Hebbal,1080.0,2.0,54.0,2
2712,Hebbal,812.0,2.0,55.0,2
2713,Hebbal,2790.0,4.0,198.0,4
2714,Hebbal,3067.0,4.0,230.0,4
2715,Hebbal,3067.0,4.0,230.0,4
2717,Hebbal,823.0,2.0,50.63,2
2718,Hebbal,1420.0,2.0,123.0,2
2720,Hebbal,1420.0,2.0,99.39,2
2721,Hebbal,4235.0,4.0,365.0,4
2722,Hebbal,1700.0,3.0,124.0,3
2723,Hebbal,3960.0,5.0,386.0,4
2724,Hebbal,1420.0,2.0,99.39,2
2726,Hebbal,1440.0,2.0,115.0,2
2727,Hebbal,1100.0,2.0,54.0,2
2729,Hebbal,2400.0,4.0,180.0,3
2731,Hebbal,1420.0,2.0,107.0,2
2732,Hebbal,1320.0,2.0,92.0,2
2733,Hebbal,919.0,2.0,49.0,2
2734,Hebbal,1645.0,3.0,135.0,3
2735,Hebbal,2080.0,3.0,175.0,3
2737,Hebbal,2483.0,5.0,230.0,4
2738,Hebbal,2600.0,3.0,195.0,3
2739,Hebbal,1645.0,3.0,117.0,3
2740,Hebbal,1251.0,2.0,88.73,2
2741,Hebbal,1645.0,3.0,121.0,3
2742,Hebbal,1760.0,3.0,123.0,3
2743,Hebbal,2790.0,4.0,198.0,4
2744,Hebbal,3960.0,5.0,386.0,4
2745,Hebbal,1645.0,3.0,120.0,3
2746,Hebbal,1255.0,2.0,90.0,3
2747,Hebbal,1645.0,3.0,117.0,3
2750,Hebbal,1636.0,3.0,119.0,3
2751,Hebbal,1255.0,2.0,95.0,3
2752,Hebbal,2790.0,4.0,198.0,4
2754,Hebbal,1255.0,2.0,95.0,3
2755,Hebbal,1088.0,2.0,61.45,2
2756,Hebbal,1349.0,2.0,97.8,2
2758,Hebbal,1344.0,2.0,108.0,2
2759,Hebbal,1255.0,2.0,90.0,3
2761,Hebbal,1138.0,2.0,110.0,2
2762,Hebbal,2790.0,5.0,204.0,4
2763,Hebbal,1088.0,2.0,62.0,2
2764,Hebbal,1987.0,4.0,165.0,3
2765,Hebbal,2790.0,5.0,198.0,4
2766,Hebbal,1299.0,2.0,100.0,2
2767,Hebbal,1200.0,2.0,60.0,2
2768,Hebbal,1645.0,3.0,117.0,3
2769,Hebbal,1390.0,2.0,95.0,2
2770,Hebbal,1333.0,2.0,100.0,2
2772,Hebbal,2650.0,4.0,199.0,3
2773,Hebbal,1800.0,3.0,140.0,3
2775,Hebbal,2470.0,4.0,203.0,4
2776,Hebbal,1255.0,2.0,95.0,3
2777,Hebbal,1333.0,2.0,104.0,2
2778,Hebbal,1645.0,3.0,117.0,3
2779,Hebbal,2600.0,3.0,199.0,3
2780,Hebbal,1345.0,2.0,97.0,2
2782,Hebbal,985.0,2.0,62.0,2
2783,Hebbal,1320.0,2.0,91.0,2
2784,Hebbal,2388.0,3.0,195.0,3
2785,Hebbal,1040.0,2.0,55.0,2
2787,Hebbal,2600.0,3.0,195.0,3
2788,Hebbal,2630.0,5.0,188.0,4
2789,Hebbal,2790.0,5.0,198.0,4
2790,Hebbal,1645.0,3.0,113.0,3
2792,Hebbal,1420.0,2.0,99.39,2
2795,Hebbal,1162.0,2.0,69.0,2
2796,Hebbal,1100.0,2.0,60.0,2
2797,Hebbal,4235.0,5.0,364.0,4
2798,Hebbal,1299.0,2.0,97.0,2
2800,Hebbal,2470.0,5.0,192.0,4
2801,Hebbal,1645.0,3.0,117.0,3
2802,Hebbal,1920.0,3.0,134.0,3
2804,Hebbal,1920.0,3.0,150.0,3
2805,Hebbal,2375.0,4.0,189.0,4
2806,Hebbal,1420.0,2.0,99.26,2
2807,Hebbal,1252.0,2.0,92.0,2
2808,Hebbal,2790.0,4.0,198.0,4
2809,Hebbal,1162.0,2.0,59.0,2
2810,Hebbal,1294.0,2.0,115.0,2
2812,Hebbal,1150.0,2.0,57.0,2
2813,Hebbal,1740.0,2.0,137.0,3
2815,Hebbal,1662.0,3.0,155.0,3
2816,Hebbal,2250.0,3.0,219.0,3
2817,Hebbal,1349.0,2.0,98.0,2
2819,Hebbal,1349.0,2.0,96.8,2
2820,Hebbal Kempapura,1700.0,3.0,155.0,3
2821,Hebbal Kempapura,1800.0,3.0,175.0,3
2822,Hebbal Kempapura,2900.0,4.0,300.0,3
2823,Hebbal Kempapura,3522.0,3.0,380.0,3
2824,Hebbal Kempapura,2280.0,5.0,200.0,5
2825,Hebbal Kempapura,1200.0,2.0,125.0,2
2826,Hebbal Kempapura,2900.0,4.0,240.0,3
2828,Hebbal Kempapura,1300.0,2.0,102.0,2
2829,Hebbal Kempapura,1466.0,2.0,140.0,3
2831,Hebbal Kempapura,1725.0,2.0,165.0,3
2832,Hebbal Kempapura,1200.0,3.0,125.0,3
2833,Hebbal Kempapura,3408.0,3.0,260.0,3
2834,Hebbal Kempapura,1485.0,3.0,132.0,2
2835,Hebbal Kempapura,1400.0,2.0,108.0,2
2836,Hebbal Kempapura,1800.0,3.0,150.0,3
2837,Hebbal Kempapura,2400.0,5.0,200.0,5
2838,Hebbal Kempapura,2800.0,5.0,220.0,5
2839,Hebbal Kempapura,1785.0,3.0,165.0,3
2840,Hebbal Kempapura,3729.0,4.0,384.0,4
2841,Hebbal Kempapura,1600.0,3.0,170.0,3
2842,Hebbal Kempapura,1730.0,3.0,175.0,3
2844,Hegde Nagar,1569.0,3.0,101.0,3
2845,Hegde Nagar,3000.0,7.0,210.0,6
2846,Hegde Nagar,2026.0,3.0,132.0,3
2847,Hegde Nagar,1801.0,3.0,115.0,3
2848,Hegde Nagar,1050.0,1.0,56.0,2
2849,Hegde Nagar,1341.0,2.0,97.0,2
2850,Hegde Nagar,2112.95,4.0,145.0,3
2851,Hegde Nagar,1703.0,3.0,113.0,3
2852,Hegde Nagar,1570.0,3.0,105.0,3
2853,Hegde Nagar,1801.0,3.0,140.0,3
2854,Hegde Nagar,1584.01,3.0,103.0,3
2855,Hegde Nagar,1965.0,4.0,125.0,3
2856,Hegde Nagar,1200.0,2.0,75.0,2
2857,Hegde Nagar,1847.0,3.0,135.0,3
2858,Hegde Nagar,1965.0,4.0,132.0,3
2859,Hegde Nagar,1703.0,3.0,125.0,3
2860,Hegde Nagar,1847.0,3.0,125.0,3
2861,Hegde Nagar,2144.6,4.0,145.0,3
